"System Header Row
DO NOT DELETE THIS ROW
OR THIS COLUMN!",field_1289,field_1685,field_1688,field_1319,field_1321,field_1679,field_1677,field_1658,field_1659
"{
	""actions"":{
		""validation"":[

		],
		""reconciliation"":[

		]
	},
	""enforce_all_required_fields"":"""",
	""form_history"":""1cd29889230f99891a721ea8d25dd865"",
	""form_id"":""60"",
	""form_name"":""OPID - Interview Form"",
	""has_desc"":"""",
	""import_type"":""data"",
	""is_tier1_form"":"""",
	""link_field_id"":"""",
	""link_field_label"":"""",
	""match_type"":""record_ids"",
	""options"":[

	],
	""record_action"":""update"",
	""secondary_form_history"":""ad0218ec77117ea11edd7e245fa7daa1"",
	""secondary_form_id"":""57"",
	""secondary_form_name"":""Client Tracking"",
	""secondary_is_tier1_form"":""1"",
	""selected_columns"":[
		""field_1685"",
		""field_1688"",
		""field_1319"",
		""field_1321"",
		""field_1679"",
		""field_1677"",
		""field_1658"",
		""field_1659"",
		""field_1289""
	],
	""skip_headers"":"""",
	""target_match_type"":""""
}",OPID - Interview Form - Record ID,LBVD Check Number,LBVD Check Disposition,TID Check Number,TID Check Disposition,TDL Check Number,TDL Check Disposition,MBVD Check Number,MBVD Check Disposition
,277311,78567,Cleared,0,,78568,Cleared,0,
,276499,78044,Voided,78045,Voided,0,,0,
,276531,0,,78055,Voided,0,,0,
,276538,78056,Voided,0,,0,,0,
,276539,78058,Voided,78059,Voided,0,,0,
,276541,78060,Voided,0,,0,,0,
,276555,78071,Voided,0,,78072,Voided,0,
,276563,78077,Voided,0,,0,,0,
,276566,0,,78080,Voided,0,,0,
,276582,0,,78096,Voided,0,,0,
,276584,0,,78098,Voided,0,,0,
,276605,0,,78103,Voided,0,,0,
,276628,78111,Voided,78114,Voided,0,,0,
,276624,78111,Voided,0,,0,,0,
,276626,78111,Voided,0,,0,,0,
,276644,0,,78131,Voided,0,,0,
,276645,0,,78132,Voided,0,,0,
,276646,0,,78133,Voided,0,,0,
,276649,0,,78136,Voided,0,,0,
,276651,0,,0,,78138,Voided,0,
,276664,78144,Voided,0,,0,,0,
,276000,0,,78150,Voided,0,,0,
,276700,0,,78153,Voided,0,,0,
,276712,78160,Voided,0,,0,,0,
